date,channel,source_tag,target_persona,asset_or_thread,action,cta,owner,status,result,notes
2026-05-20,MQL5 Freelance,mql5_freelance,mql_developer,High-intent EA/debugging orders,Review fit and identify non-spam discussion angles,Compiler fixer or code review,Felicien,planned,,
2026-05-20,MQL5 CodeBase/Forum,mql5_codebase_forum,mq5_developer,EA source-code and compiler discussions,Answer one technical question first,Relevant SEO guide only if useful,Felicien,planned,,
2026-05-20,EarnForex Forum,earnforex_forum,mt4_mt5_builder,Expert Advisors support threads,Answer one troubleshooting question,MT4 debugger or MQL5 fixer,Felicien,planned,,
2026-05-20,Forex Factory,forexfactory_platform_tech,ea_builder,Platform Tech / EA troubleshooting,Answer one platform or EA build issue,Resource guide only if direct fit,Felicien,planned,,
2026-05-20,LinkedIn,linkedin_build_note,mql_builder_network,Founder build note,Post workflow demo and ask for testers,Try Workfusion,Felicien,planned,,
2026-05-20,YouTube,youtube_demo,trading_automation_viewer,Short demo script,Publish 30-60s workflow video,Try free workflow,Felicien,planned,,
2026-05-20,Partner,partner_mql_freelancer,mql_freelancer,Freelancer outreach,Ask for workflow feedback,Partner test,Felicien,drafted,ready_to_send,AI growth desk includes freelancer feedback draft and guardrails
2026-05-20,Support,support_inbound,active_user,Open support inbox,Reply and tag blocker,Fix issue or request reproduction,Felicien,ready,idle,Inbox workflow live in /growth; 0 open support tickets at verification
2026-05-20,MQL5 Forum,mql5_codebase_forum,mq5_developer,EA stop trading because of Invalid stops Why,Drafted no-link technical reply about Bid Ask spread stop level freeze level and logging,No link,Felicien,drafted,ready_to_post,Invalid stops XAUUSD support opportunity
2026-05-20,Forex Factory,forexfactory_platform_tech,ea_builder,evaluation EAs by magic number MT5,Drafted no-link technical reply about grouping MT5 deals by DEAL_MAGIC,No link,Felicien,drafted,ready_to_post,Magic-number evaluation support opportunity
2026-05-20,MQL5 Forum,mql5_codebase_forum,mq5_developer,Persistent MQL5 compilation errors HistoryDeals missing,Drafted technical reply with Workfusion compiler fixer link only after useful explanation,MQL5 compiler fixer,Felicien,drafted,ready_to_post,Compiler-fixer acquisition opportunity
2026-05-20,MQL5 Forum,mql5_codebase_forum,mq5_developer,CTrade undeclared identifier in EA,Drafted technical reply with CTrade setup guide link only after useful explanation,CTrade setup guide,Felicien,drafted,ready_to_post,Common MQL5 compiler setup issue
2026-05-20,MQL5 Forum,mql5_codebase_forum,mq5_developer,iMA CopyBuffer wrong way around,Drafted technical reply with CopyBuffer handle guide link only after useful explanation,CopyBuffer guide,Felicien,drafted,ready_to_post,Common MQL5 indicator handle issue
2026-05-20,MQL5 Forum,mql5_codebase_forum,mq5_developer,HistoryDeal native API path,Updated technical reply with dedicated history deal guide link,History deal guide,Felicien,drafted,ready_to_post,Replaced generic compiler fixer link with exact tutorial
2026-05-20,LinkedIn,linkedin_build_note,mql_builder_network,Founder build note,Drafted post summarizing today's EA debugging patterns,Try Workfusion,Felicien,drafted,ready_to_post,Post manually from Felicien account
2026-05-20,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-05-21,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-05-22,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-05-25,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-05-27,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-05-28,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-05-29,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-06-01,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-06-02,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-06-03,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-06-04,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-06-05,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-06-08,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-06-09,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
2026-06-10,Workfusion owned site,updates_build_notes,mq5_developer,/updates,Autopilot published owned-channel build note,Open resources,autopilot,published_to_repo,new_build_note,External LinkedIn/forum posts remain manual_required by policy
